code,name,city,prov,nation,lat,lon,risk
1105A,小河沿,沈阳市,辽宁省,中国,41.7867,123.4678,2
1106A,太原街,沈阳市,辽宁省,中国,41.7972,123.4017,1
1107A,南十东路,沈阳市,辽宁省,中国,41.7806,123.3606,0
1108A,京沈街,沈阳市,辽宁省,中国,41.9228,123.3783,0
1109A,甘井子,大连市,辽宁省,中国,38.9741,121.612,1
1110A,周水子,大连市,辽宁省,中国,38.9511,121.565,1
1111A,星海三站,大连市,辽宁省,中国,38.8845,121.5637,1
1112A,青泥洼桥,大连市,辽宁省,中国,38.9117,121.6302,1
1113A,傅家庄,大连市,辽宁省,中国,38.8638,121.6251,1
1114A,七贤岭,大连市,辽宁省,中国,38.8661,121.5213,1
1115A,旅顺,大连市,辽宁省,中国,38.8061,121.2529,1
1116A,金州,大连市,辽宁省,中国,39.1311,121.7485,1
1117A,开发区,大连市,辽宁省,中国,39.0496,121.7811,1
1118A,双D港,大连市,辽宁省,中国,39.0631,121.9762,1
1119A,食品厂,长春市,吉林省,中国,43.9166,125.3325,1
1120A,客车厂,长春市,吉林省,中国,43.9027,125.2863,1
1121A,邮电学院,长春市,吉林省,中国,43.8463,125.2841,1
1122A,劳动公园,长春市,吉林省,中国,43.8772,125.3716,1
1123A,园林处,长春市,吉林省,中国,43.8805,125.3297,2
1124A,净月潭,长春市,吉林省,中国,43.79,125.4605,1
1125A,甩湾子(对照点),长春市,吉林省,中国,43.515,125.7194,1
1126A,经开区环卫处,长春市,吉林省,中国,43.8447,125.3863,4
1127A,高新区管委会,长春市,吉林省,中国,43.7783,125.245,4
1128A,岱山公园,长春市,吉林省,中国,43.8325,125.1761,5
1129A,岭北(对照点),哈尔滨市,黑龙江省,中国,45.755,126.5422,1
1130A,松北商大,哈尔滨市,黑龙江省,中国,45.8167,126.561,1
1131A,阿城会宁,哈尔滨市,黑龙江省,中国,45.5419,126.979,1
1132A,南岗学府路,哈尔滨市,黑龙江省,中国,45.7222,126.599,1
1133A,太平宏伟公园,哈尔滨市,黑龙江省,中国,45.7733,126.689,1
1134A,道外承德广场,哈尔滨市,黑龙江省,中国,45.7667,126.635,1
1135A,香坊红旗大街,哈尔滨市,黑龙江省,中国,45.7319,126.685,1
1136A,动力和平路,哈尔滨市,黑龙江省,中国,45.7258,126.6411,1
1137A,道里建国路,哈尔滨市,黑龙江省,中国,45.7478,126.593,1
1138A,平房东轻厂,哈尔滨市,黑龙江省,中国,45.61,126.615,1
